Specify Item No,Specify Name of Goods,Specify Detailed Technical Specification and Standards required,Specify Inspection and/or tests required and test place
1,Employee Personnel Information Management System,1.1 Organization's Profile:,"BDBL, Head Office"
1,Employee Personnel Information Management System,"1.1.1 Certificate of incorporation, Permission, Generation, Vision, Mission, VAT Registration Number, TIN, BIN, SWIFT Code, Year wise Board of Directors, Details of Branches (including types), Sub-Branch, Booths, ATM Booths,Organogram with Resource Allocation, Year wise human resources position, Year wise Number of clients we serve and clients we lost, Business Target & Growth, profit and dividend, Date of AGM, Designation flow Management etc.","BDBL, Head Office"
1,Employee Personnel Information Management System,1.2 Employee's Profile:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1 Open for employees and will filled up through online,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.1 Colour Photo Image: (Passport Size) Remaider to change photo every five years,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.2 Employee Name (English and Bangla),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.3 Signature (English and Bangla) Changeable ,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.4 Nationality,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.5 National ID No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.6 Passport No with issuing Country,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.7 Issue Date of Passport,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.8 Expiry Date of Passport,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.9 Organization (BSB/BSRS/BDBL),"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.10 Personal Mobile No. & Home phone no.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.11 Personal Email Address,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.12 Facebook ID,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.13 LinkedIn ID,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.14 E-TIN No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.15 Existing Tax Zone,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.16 Existing Tax Circle,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.17 Driving License No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.18 Type of Driving License,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.19 Issue Date of Driving License,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.20 Expiry Date of Driving License,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.21 Employee's Date of Birth,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.22 Place & Country of Birth,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.23 Birth Certificate No.,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.24 Blood Group:,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.25 Willingness to Donate Blood: Yes/No,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.26 Gender: Male/Female,"BDBL, Head Office"
1,Employee Personnel Information Management System,1.2.1.27 Religion,"BDBL, Head Office"
